BarrierID,NAACC_ID,Lat,Long,Rd_Name,Culv_Mat,In_Type,In_Shape,In_A,In_B,HW,Slope,Length,Out_Shape,Out_A,Out_B,Comments,Flags
65ALB,48280,42.511627,-73.962958,-1,Plastic,Wingwall,Round,2.3,2.7,3.2,5.3,56.1,-1,-1,-1,-1,0
66ALB,48284,42.52571,-73.950444,-1,Metal,Wingwall,Elliptical,5.9,5,3,4,60.9,-1,-1,-1,-1,0
67ALB,48286,42.52559,-73.95074,-1,Metal,Wingwall,Elliptical,4.7,5.2,8.3,4.2,100,-1,-1,-1,-1,0
68ALB,48292,42.475795,-73.908098,-1,Concrete,Projecting,Box,14,5,1.8,1.3,46.3,-1,-1,-1,-1,0
69ALB,48304,42.451628,-73.942717,-1,Metal,Projecting,Round,5,4.7,2.2,2.9,70.7,-1,-1,-1,-1,0
70ALB,48309,42.471105,-73.893622,-1,Metal,Wingwall and Headwall,Elliptical,8.3,6.6,2.5,5,71.7,-1,-1,-1,-1,0
71ALB,48310,42.47872,-73.894604,-1,Concrete,Wingwall,Box,5.2,5,0.6,0.7,54,-1,-1,-1,-1,0
72ALB,48312,42.528583,-73.868792,-1,Metal,Projecting,Elliptical,5.7,2.9,3.7,1.5,54.4,-1,-1,-1,-1,0
73ALB,48313,42.518997,-73.850765,-1,Combination,Headwall,Round,4.1,4,4.1,3.5,60.5,-1,-1,-1,-1,0
74ALB,48314,42.516561,-73.842148,-1,Metal,Headwall,Round,2,2,2.6,14.8,63.5,-1,-1,-1,-1,0
75ALB,48319,42.497715,-73.827684,-1,Combination,Headwall,Round,3,3,6.3,8.5,72.5,-1,-1,-1,-1,0
76ALB,48320,42.511418,-73.81672,-1,Combination,Projecting,Bridge with Abutments and Side Slopes,103,21,4.2,0,41,-1,-1,-1,-1,0
77ALB,48327,42.490813,-73.819143,-1,Concrete,Projecting,Round,2,2,3.4,4,50,-1,-1,-1,-1,0
78ALB,48330,42.493245,-73.819765,-1,Concrete,Headwall,Box,3.1,2.7,5.5,0.7,57,-1,-1,-1,-1,0
79ALB,48340,42.467682,-73.830027,-1,Concrete,Headwall,Box,2.2,1.5,2.6,3,58,-1,-1,-1,-1,0
80ALB,50487,42.518336,-73.820164,-1,Metal,Projecting,Elliptical,4.2,3.8,1.6,2.7,40,-1,-1,-1,-1,0
81ALB,50492,42.51935,-73.82265,-1,Metal,Projecting,Elliptical,8.3,3.1,0.6,6,23,-1,-1,-1,-1,0
82ALB,50494,42.51947,-73.82301,-1,Metal,Projecting,Elliptical,9,3.5,1.1,5.4,23.4,-1,-1,-1,-1,0
83ALB,50504,42.527833,-73.846717,-1,Concrete,Wingwall and Headwall,Box,9.8,14.4,10,0,95.8,-1,-1,-1,-1,0
84ALB,50505,42.507646,-73.849116,-1,Concrete,Headwall,Arch,1.6,0.6,1.6,0,35.8,-1,-1,-1,-1,0
85ALB,50506,42.48272,-73.90745,-1,Metal,Wingwall and Headwall,Elliptical,9.3,3.3,1.2,2.5,49.1,-1,-1,-1,-1,0
86ALB,51762,42.463373,-73.850174,-1,Metal,Wingwall and Headwall,Elliptical,8.5,5.9,2.1,4.3,42,-1,-1,-1,-1,0
87ALB,51770,42.468583,-73.927532,-1,Metal,Projecting,Elliptical,16.3,10,3.8,2.5,65.5,-1,-1,-1,-1,0
88ALB,51771,42.468015,-73.922227,-1,Metal,Wingwall and Headwall,Elliptical,7.8,4.6,0.5,3,51.4,-1,-1,-1,-1,0
89ALB,51823,42.536726,-73.94312,-1,Plastic,Mitered to Slope,Round,2.3,2.6,2.6,8.2,61.2,-1,-1,-1,-1,0
90ALB,51824,42.53264,-73.907047,-1,Metal,Projecting,Elliptical,15.5,3.6,2.7,2.5,40.2,-1,-1,-1,-1,0
91ALB,51829,42.530194,-73.89482,-1,Concrete,Wingwall and Headwall,Box,4,4.2,4.9,2.5,44.6,-1,-1,-1,-1,0
92ALB,53065,42.531377,-74.223714,-1,Combination,Wingwall and Headwall,Round,2.5,2.5,6.4,0,34,-1,-1,-1,-1,0
93ALB,53476,42.468462,-73.877924,-1,Concrete,Wingwall,Box,12,3.3,2.5,1.3,42,-1,-1,-1,-1,0
94ALB,48300,42.45333,-73.941935,-1,Metal,Projecting,Round,3.9,4.1,1.5,2.4,80,-1,-1,-1,-1,3
95ALB,48301,42.45333,-73.941935,-1,Metal,Projecting,Round,3.9,3.9,1.5,3,80,-1,-1,-1,-1,3
96ALB,48302,42.45333,-73.941935,-1,Metal,Projecting,Round,4.8,5,1.5,0.9,80,-1,-1,-1,-1,3
97ALB,51763,42.465732,-73.849045,-1,Metal,Headwall,Round,1.9,1.8,1.4,2.3,50,-1,-1,-1,-1,2
98ALB,51764,42.465732,-73.849045,-1,Metal,Headwall,Round,1.8,1.9,1.4,0,50,-1,-1,-1,-1,2
99ALB,51765,42.467262,-73.852071,-1,Metal,Headwall,Round,2,1.9,2.1,0.7,40,-1,-1,-1,-1,2
100ALB,51766,42.467262,-73.852071,-1,Metal,Headwall,Round,2,2,2.1,1.9,40,-1,-1,-1,-1,2
101ALB,51825,42.530916,-73.897665,-1,Metal,Headwall,Elliptical,5,3.6,3.2,1,43,-1,-1,-1,-1,4
102ALB,51826,42.530916,-73.897665,-1,Metal,Headwall,Elliptical,5.3,3.6,3.2,1,43,-1,-1,-1,-1,4
103ALB,51827,42.530916,-73.897665,-1,Metal,Headwall,Elliptical,3.6,5.2,3.2,1.3,43,-1,-1,-1,-1,4
104ALB,51828,42.530916,-73.897665,-1,Metal,Headwall,Elliptical,3.6,5.2,3.2,1.2,43,-1,-1,-1,-1,4
105ALB,51761,42.507895,-73.822704,-1,Metal,Projecting,Round,6.2,6.2,0.3,2.5,36.6,-1,-1,-1,-1,0
